Image_URL,Player,Team,Rarity,Subset
https://topps-nft-assets-production.s3.amazonaws.com/af6aead7-a6c0-4b03-8e76-182765c4d2ab/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_87_STL-Jack-Flaherty_Rare_Red_Preview_O.jpg,Jack Flaherty,St. Louis Cardinals,Rare,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/b7f1a2dc-b12e-484e-836b-c78ff5fe76f0/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_87_STL-Jack-Flaherty_Common_White_Preview_O.jpg,Jack Flaherty,St. Louis Cardinals,Common,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/444f881f-bd92-42b9-a6af-046d0275847a/Collectibles/Silver_Gold_Signings/MLB_Inception-2021-NFTs_Gold-Signings-Facsimile-Signature_38_STL-Kodi-Whitley_Epic_Gold_Preview_O.jpg,Kodi Whitley,St. Louis Cardinals,Epic,Gold Signings Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/fc099835-894c-4b95-8814-8161e2755587/Collectibles/Rookie_and_Future_Phenoms_Facsimile_Signature/MLB_Inception-2021-NFTs_Rookie-and-Future-Phenoms-Facsimile-Signature_71_STL-Kodi-Whitley_Legendary_Black_Preview_O.jpg,Kodi Whitley,St. Louis Cardinals,Legendary,Rookie and Future Phenoms Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/80245f3d-a208-4535-a4dc-fe9c0121a084/Collectibles/Rookie_and_Future_Phenoms_Facsimile_Signature/MLB_Inception-2021-NFTs_Rookie-and-Future-Phenoms-Facsimile-Signature_71_STL-Kodi-Whitley_Super-Rare_Blue_Preview_O.jpg,Kodi Whitley,St. Louis Cardinals,Super Rare,Rookie and Future Phenoms Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/391a5ad8-ee5e-44de-b886-09985269226e/Collectibles/Rookie_and_Future_Phenoms_Facsimile_Signature/MLB_Inception-2021-NFTs_Rookie-and-Future-Phenoms-Facsimile-Signature_71_STL-Kodi-Whitley_Epic_Red_Preview_O.jpg,Kodi Whitley,St. Louis Cardinals,Epic,Rookie and Future Phenoms Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/7af6e010-523b-4c8b-847e-a7a06d9e50bf/Collectibles/Rookie_and_Future_Phenoms_Facsimile_Signature/MLB_Inception-2021-NFTs_Rookie-and-Future-Phenoms-Facsimile-Signature_71_STL-Kodi-Whitley_Rare_White_Preview_O.jpg,Kodi Whitley,St. Louis Cardinals,Rare,Rookie and Future Phenoms Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/c4fd33a6-20fb-4928-978f-5b7eff4d5eb0/Collectibles/Silver_Gold_Signings/MLB_Inception-2021-NFTs_Silver-Signings-Facsimile-Signature_38_STL-Kodi-Whitley_Super-Rare_Silver_Preview_O.jpg,Kodi Whitley,St. Louis Cardinals,Super Rare,Silver Signings Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/efa261a0-6f31-4436-9ecb-620baa9be571/Collectibles/New_Beginnings/MLB_Inception-2021-NFTs_New-Beginnings_05_STL-Nolan-Arenado_Legendary_Team-Colors_Preview_O.jpg,Nolan Arenado,St. Louis Cardinals,Legendary,New Beginnings
https://topps-nft-assets-production.s3.amazonaws.com/60965cf1-7af9-40b6-81f1-af31e2870b16/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_88_STL-Paul-DeJong_Legendary_Black_Preview_O.jpg,Paul DeJong,St. Louis Cardinals,Legendary,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/b40a1056-75b3-4516-bd0e-79ddb00a0525/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_88_STL-Paul-DeJong_Uncommon_Blue_Preview_O.jpg,Paul DeJong,St. Louis Cardinals,Uncommon,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/b3b4b7c5-a425-4c6c-a169-0d8d52d8fe3c/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_88_STL-Paul-DeJong_Rare_Red_Preview_O.jpg,Paul DeJong,St. Louis Cardinals,Rare,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/b7f45e42-0210-4069-a4b8-154b846ef1bb/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_88_STL-Paul-DeJong_Common_White_Preview_O.jpg,Paul DeJong,St. Louis Cardinals,Common,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/4afe882c-fb39-4efa-9f35-d36ba3a1359a/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_89_STL-Paul-Goldschmidt_Legendary_Black_Preview_O.jpg,Paul Goldschmidt,St. Louis Cardinals,Legendary,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/2bf043bf-034b-46cb-84ba-30043433e3b7/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_89_STL-Paul-Goldschmidt_Uncommon_Blue_Preview_O.jpg,Paul Goldschmidt,St. Louis Cardinals,Uncommon,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/477d825c-dc2c-4616-9c4a-5eafd73dbcc6/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_89_STL-Paul-Goldschmidt_Rare_Red_Preview_O.jpg,Paul Goldschmidt,St. Louis Cardinals,Rare,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/3edea8d8-befc-49c8-95ee-a7ab57e286c9/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_89_STL-Paul-Goldschmidt_Common_White_Preview_O.jpg,Paul Goldschmidt,St. Louis Cardinals,Common,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/4eadad9e-4996-4c83-8053-e3a787effa5f/Collectibles/Rookie_and_Future_Phenoms_Facsimile_Signature/MLB_Inception-2021-NFTs_Rookie-and-Future-Phenoms-Facsimile-Signature_72_TB-Austin-Meadows_Legendary_Black_Preview_O.jpg,Austin Meadows,Tampa Bay Rays,Legendary,Rookie and Future Phenoms Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/c4d37e0d-f4dd-4589-83fb-ed5a7e5cfba0/Collectibles/Rookie_and_Future_Phenoms_Facsimile_Signature/MLB_Inception-2021-NFTs_Rookie-and-Future-Phenoms-Facsimile-Signature_72_TB-Austin-Meadows_Super-Rare_Blue_Preview_O.jpg,Austin Meadows,Tampa Bay Rays,Super Rare,Rookie and Future Phenoms Facsimile Signature
